name,botanicalName,plantFamily,origin,partOfPlant,note,strength,fragrance,plantInfo,effect,Harmonzes,CONTRAINDICATIONS
Alpepine,Pinus cembra,Pinaceae,Süd-Tirol; Italy,Needles; twigs,Top/hart,4,Woody: Conifer,The Alpepine is an evergreen tree belonging to the Pinaceae family of European mountain ranges. Cultivated for the most part in Italy and Austria often reaches a height of 15-20 m with woody bark at the base; needles collected in bunches of 5., Revitalise; Supports airways; Supports immunesystem; Purifying Pine Cembro is mainly used for its expectorant qualities and for the treatment of respiratory illnesses.,Cypress; Elemi; Juniper; Lavender; Lavandin; Ravintsar; Rosemary Verbenone; Ylang-Ylang and spicy oils and citrus fruits.,Do not ingest and do not use pure on the skin; causing skin irritation
Balsamfir,Abies balsamea,Pinaceae,Canada,Needles; twigs,Top/hart,3,Woody: Conifer,The balsamfir is a an evergreen tree belonging to the Pinaceae family. Cultivated for the most part in Canada and USA often reaches a height of 20 m. On the bark and leafs; blisters form full of resin and essential oils called Canadian Balm, Antibacterial; sooths the airways. Relaxing; purifying and bring emotional balance. Eases tired muscles,Pine; fir; juniper; west-indian sandalwood; benzoin,Can cause nausea in high concentration. Do not use during pregnancy
Basil,Ocimum basilicum L,Lamiaceae,Comoren,leafs & flowers,Middle/Top,3,Herbal,Tropical basil (Ocimum Basilicum) is an annual herb plant belonging to the Lamiaceae family of the tropical regions of Asia and Africa. Cultivated mostly in France and Italy reaches a height of 60 cm with erect stem; green oval leaves and white-rose flowers.,Revitalise. Clears mucous in upper airways and recoveres our sense of smell. Stimulates the bloodflow to the brains; improves concentration and clears mind. musclepain;  relaxes cramps,Cypress; bergamot; rosewood; howood; geranium; litsea; sage; spice oils,Use with moderation. It is preferable to avoid using it during pregnancy
Bee balm,Monarda fistulosa ct. Geraniol,Labiateae,France,plant,Top/Hart,5,Herbal,Bee balm is a perennial herb plant belonging to the Lamiaceae family of North America. It grows spontaneously for the most part in Canada; the United States and Mexico; often reaches a height of about 1 m; has gray-green leaves and highly scented purple-rosace flowers. ,Revitalise; Purifying; antiviral; anti-infectious; broad spectrum antibacterial and antifungal.,Roman Camomiles; Cypress; Patchouli; Rose; Geranium; lavender; Ylang-Ylang Petit grain Mandarine; and citrus oils.,It is preferable to avoid using it during pregnancy
Benzoe,Styrax benzoin,Styraceae,Iran,resin,Base,3,Resinous,Benzoin (Styrax Benzoin) is a plant belonging to the Styracaceae family of Indonesia. Grown spontaneously for the most part in Vietnam; Cambodia; China and Thailand; it often reaches a height of 20 m with sloping bases covered by a gray bark from which emerges the precious resin and oval leaves; the darker on the top and covered with a slight whitish hair at the bottom. The flowers are yellowish outside and reddish inside. The fruit is a berry.,Relaxing; Supports airways; Purifying; expectorant; calming; strongly skinregenerating; dry skin,Amyris; Copal; Ginger; Jasmin; Geranium; Korander; Cinnamon; Lavender; Lavandin; Lemon; Marjoram; Neroli; Black Pepper; Rosemary and citrus oils.,Use in moderation; Slightly toxic; Difficult to use due to its thinkness
Bergamot,Citrus bergamia,Rutaceae,Italy,Peel,Top,3,Citrus,Bergamot (Citrus Bergamia) is a tree belonging to the Rutaceae family; originating in tropical Asia. Cultivated for the most part in Italy and Côte d'Ivoire reaches a height of 5 m with woody bases; oval smooth dark green leaves; green and rounded fruits that become yellow with maturation.,Relaxing; Harmonizing; Purifying; lightly anti-bacterial; calms down the mind and sets a positive energetic spirit; skinregenerating and woundhealing,Cypress; Coriander; Geranium; juniper; Litsea; Myrrh; Neroli; Patchouli; Spices,Photosensibilizing and phototoxic; not to be used before exposure to the sun!
Bergamotmint,Mentha x citrata,Lamiaceae,France,Plant,Top,3,Herbal: mint,Mentha citrata is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia. It’s also called the bermamotmint because of its leafs smelling alot like the bergamotfruit. It contains no menthol.,antivral and strongly immunestimmulating; Calms your breathing and emotions but revitalizes your mind; skincare and revitalisating,Lavender; Lavandin; Ho; Geranium; Ylang Ylang; Eucalyptus; Rosemary; Citrusses,Can be toxic in high concentration. Do not use during pregnancy.
Black pepper,Piper nigrum,Piperaceae,Madagascar,Seed,Hart,3,Spicy,,Revitalise; Purifying,,
Bloodorange,Citrus sinensis var.,Rutaceae,Sicily,Peel,Top,4,Citrus,Bloodorange (Citrus Sinensis) is an evergreen tree; belonging to the Rutaceae family of China. Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base; small green-dark leaves and clear whitish flowers. The fruits are larger and clearer than those of the bitter orange.,Relaxing; Harmonizing; Purifying; disinfects the air; supports when having a cold or bronchitis; uplifts and relaxing when having stress; firms the skintension,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla and most of the existing oils,Photosensibilizing and phototoxic; not to be used before exposure to the sun.
Cabreuva,Myrocarpus fastigiatus,Fabaceae,Paraguay,Wood,Middle,3,Woody: Conifer,Cabreuva is a tropical tree belonging to the Fabacea family and cultivated for the most part in Paraguay; Argentina; Brazil. ,Antisceptic; stimulates the immunesystem and sooths breathing; Aphrodisiac for men; revitalizes and clears the mind; Skinregenerating,Ceder; Rose; Geranium; Lavender; Palmarosa; Lavandin; Conifers,Do not use purly on skin
Cadetar,Juniperus oxycedrus,Cupressaceae,France,Bark and branches,Base,6,Woody,Cade or Pirky juniper is an evergreen bush with big blackbrown berrys and long green needles belonging to the Cupressaceae family and originates from South-France,Fragrance; skin; Calming and harmonizing; Skinregeneration; antibacterial; antifungal; dandruff,spices; pines and junipers, It’s all about the dosage DOSE LOW! Only one or 2 drops is enough! Toxic in high concentration. Do not use during pregnancy; Can cause allergic reaction on skin
Cajeput,Melaleuca leucadendron,Myrtaceae,Vietnam,leaf,Top,3,Herbal: Medicenal,The Cajeput (Melaleuca Cajeputi) is a large evergreen tree belonging to the family of the Myrtaceae native to Malaysia. Cultivated mostly in Vietnam; Indonesia and Australia often reaches a height of 30 m with thick leaves and white flowers.,Revitalise; Supports airways; Purifying; Excellent for supporting the airways; flu and and a great expectorant. It is THE oil for dry coughs; Clears the mind and improves concentration; Calms down strong emotions; Disinfecting; Sooths inflammation of muscles; acne ,Cedar; Lavender; Lime; Marjoram; Thymian; Tea tree; Cypress; Juniper and Citrus oils,Use with moderation
Camomile,Matricaria recutita,Asteraceae,Nepal,Flower,Hart,3,Flower,The Matricaria recutita is herb belonging to the Asteraceae family; Cultivad most part in Hungary; France and Egypt it grows up to 60cm,Relaxing; Harmonizing; immunestimmulating (white bloodcells); neutralizes toxic bacteria; calms the mind( acne; rosacea; dermatitis; eczema),lavandin; sage; neroli; ylang ylang,Could cause allergic reaction when used beging allergic to composite flowers
