name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Alpepine,NL Alpenden; FR Pin des Alpes; DE Zilberkiefer; IT Pino cembro; CZ Borovice limba; PL Sosna limba,Pinus cembra,Pinaceae,Süd-Tirol; Italy,Needles & twigs,Steamdestillation,α-pineen,Top/Heart,4,Woody: Conifer,Woody; Spicy; Balsamic; Fresh; Slightly more delicate and sweet than Pinus mugo,Heart; Sacral ,Green; Orange,Earth; Air,The Alpepine is an evergreen tree belonging to the Pinaceae family of European mountain ranges Cultivated for the most part in Italy and Austria often reaches a height of 15-20 m with woody bark at the base needles collected in bunches of 5,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Cypress; Elemi; Juniper; Lavender; Lavandin; Ravintsar; Rosemary Verbenone; Ylang-Ylang; Spicy oils; Citrus fruits,The alpepine growns very slowly and can age up to many hunderet of years,Do not ingest and do not use pure on the skin; Causing skin irritation
Balsamfir,NL Balsemspar; FR Pin baumier; DE Balsamtanne; IT Abete balsamico; CZ Jedle balsámová; PL Jodła balsamiczna,Abies balsamea,Pinaceae,Canada,Needles & Twigs,Steamdestillation,β-pineen; α-pineen; δ 3-careen; Bornyl acetaat; Limoneen ,Top; Heart,3,Woody: Conifer,Fresh; Balsamic,Heart; Sacred,Orange; Green,Earth; Air,The balsamfir is a an evergreen tree belonging to the Pinaceae family Cultivated for the most part in Canada and USA often reaches a height of 20 m On the bark and leafs blisters form full of resin and essential oils called Canadian Balm,Relaxing; Harmonizing; Supports airways; Purifying,Antibacterial; sooths the airways,Relaxing; purifying and bring emotional balance,Eases tired muscles,Pine; Fir; Juniper; West-indian sandalwood; Benzoin,Native Americans use the balm as chewinggum,Can cause nausea in high concentration Do not use during pregnancy
Basil,NL Basilicum tropisch; FR Basilic; DE Basilikum; IT Basilico; CZ Bazalka pravá; PL Bazylia,Ocimum basilicum L,Lamiaceae,Comoren,Leafs & flowers,Steamdestillation,Methyl chavicol,Heart; Top,3,Herbal,Delicate; Fesh; Sweet; Slightly balsamic,Root; Sacral,Yellow; Green,Earth; Fire,Tropical basil (Ocimum Basilicum) is an annual herb plant belonging to the Lamiaceae family of the tropical regions of Asia and Africa Cultivated mostly in France and Italy reaches a height of 60 cm with erect stem green oval leaves and white-rose flowers,Revitalise,NA,NA,NA,Cypress; Bergamot; Rosewood; Howood; Geranium; Litsea; Sage; Spice oils,The Egyptians put basilicum leafs in the tombs to protect the dead against demons and evil spirits; Alexander the great brought basil with his armies to South-Europe,Use with moderation It is preferable to avoid using it during pregnancy
Bee balm,NL Bergamotkruid; FR Monarde; DE Monarda; IT Monarda; CZ Zavinutka trubkovitá; Monarda; PL Monarda,Monarda fistulosa ct Geraniol,Labiateae,France,Plant,Steamdestillation, NA,Top; Heart,5,Herbal,Citrus; Floral; Sweet; Like bergamot,NA,NA,NA,Bee balm is a perennial herb plant belonging to the Lamiaceae family of North America It grows spontaneously for the most part in Canada the United States and Mexico often reaches a height of about 1 m has gray-green leaves and highly scented purple-rosace flowers ,Revitalise; Purifying;,NA,NA,NA,Roman Camomiles; Cypress; Patchouli; Rose; Geranium; lavender; Ylang-Ylang Petit grain Mandarine;; Citrus oils,NA,It is preferable to avoid using it during pregnancy
Benzoë,NL Benzoë; FR Benjoin; DE Benzoin; IT Benzoino; CZ Benzoin; PL Benzoes,Styrax benzoin,Styraceae,Iran,Resin,Steamdestillation,Coniferyl benzoate; Benzyl benzoate; Benzoic acid,Base,3,Resinous,Warm; Balsamic; Sweet; Intense; Like Vanilla,Root,Yellow; Brown,Water; Earth,Benzoin (Styrax Benzoin) is a plant belonging to the Styracaceae family of Indonesia Grown spontaneously for the most part in Vietnam Cambodia China and Thailand it often reaches a height of 20 m with sloping bases covered by a gray bark from which emerges the precious resin and oval leaves the darker on the top and covered with a slight whitish hair at the bottom The flowers are yellowish outside and reddish inside The fruit is a berry,Relaxing; Supports airways; Purifying,NA,NA,NA,Amyris; Copal; Ginger; Jasmin; Geranium; Korander; Cinnamon; Lavender; Lavandin; Lemon; Marjoram; Neroli; Black Pepper; Rosemary; Citrus oils,NA,Use in moderation; Slightly toxic; Difficult to use due to its thinkness
Bergamot,NL Bergamot; FR Bergamotte; DE Bergamotte; IT Bergamotto; CZ Bergamot; PL Bergamotka,Citrus bergamia,Rutaceae,Italy,Peel,Cold pressing,d-limonene; Linalyl acetate; Linalol,Top,3,Citrus,Balsamic; Spicy; Warm,"
Heart; Solar Plexus ",Orange; Green,Air; Fire,Bergamot (Citrus Bergamia) is a tree belonging to the Rutaceae family originating in tropical Asia Cultivated for the most part in Italy and Côte d'Ivoire reaches a height of 5 m with woody bases oval smooth dark green leaves green and rounded fruits that become yellow with maturation,Relaxing; Harmonizing; Purifying`,NA,NA,NA,Cypress; Coriander; Geranium; juniper; Litsea; Myrrh; Neroli; Patchouli; Spices,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun!
Bergamotmint,NL Bergamotmunt; FR Menthe bergamot; DE Bergamotteminze; IT Menta bergamotto; CZ Máta citronová; PL Mięta bergamotowa,Mentha x citrata,Lamiaceae,France,Plant,Steamdestillation,Linalol; Linalyl acetate,Top,3,Herbal: mint,Citrus; Floral; Sweet,Hart; Solar Plexus,Green,Water; Fire,Mentha citrata is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia It’s also called the bermamotmint because of its leafs smelling alot like the bergamotfruit It contains no menthol,NA,NA,NA,NA,Lavender; Lavandin; Ho; Geranium; Ylang Ylang; Eucalyptus; Rosemary; Citrusses,NA,Can be toxic in high concentration Do not use during pregnancy
Black pepper,NL Zwarte peper; FR Poivre noir; DE schwarzer Pfeffer; IT Pepe nero; CZ Černý pepř; PL Pieprz czarny; ,Piper nigrum,Piperaceae,Madagascar,Seed,Steamdestillation,Sesquiterpenes; Limonene,Heart,3,Spicy,Warm; Spicy; Woody,"
Solar Plexus; Heart",Red,Fire; Fire,The Black Pepper is a perennial woodcut belonging to the Piperaceae family of South-West India Cultured for the most part in India Indonesia and Madagascar reaches a height of 5 m with heart-shaped leaves and small white flowers Red drupe becomes black with maturation,Revitalise; Purifying,NA,NA,NA,Clove; Frankincense; Lavender; Hybrid Lavender; Majarom; Ravintsara; Rosemary; Citrus oils,NA,Use with moderation; At high concentrations may be irritating to the skin
Bloodorange,NL Bloedsinaas; FR Orange sanguine; DE Blutorange; IT Arancio; CZ Červený pomeranč; PL Krwista pomarańcza,Citrus sinensis var,Rutaceae,Sicily,Peel,Cold pressing,d-limonen,Top,4,Citrus,Fruity; Fresh; Heavier then sweet orange,Heart; Throat,Orange,Air; Fire,Bloodorange (Citrus Sinensis) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base small green-dark leaves and clear whitish flowers The fruits are larger and clearer than those of the bitter orange,Relaxing; Harmonizing; Purifying,NA,NA,NA,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla; Most of the existing oils,NA,/
Cabreuva,NL Cabreuva; FR Cabreuva; DE Cabreuva; IT Cabreuva; CZ Cabreuva; PL Cabreuva,Myrocarpus fastigiatus,Fabaceae,Paraguay,Wood,Steamdestillation,Benzyl benzoat; Benzyl cinnamat ,Heart,3,Woody: Conifer,Woody; Slightly Floral, NA,NA,Earth; Fire,Cabreuva is a tropical tree belonging to the Fabacea family and cultivated for the most part in Paraguay Argentina Brazil ,NA,NA,NA,NA,Ceder; Rose; Geranium; Lavender; Palmarosa; Lavandin; Conifers,NA,Do not use purly on skin
Cadetar,NL Cadeteer; FR Goudron de cade; DE Cadeteer; IT Cade; CZ Jalovec červenoplodý; PL Cadetar ,Juniperus oxycedrus,Cupressaceae,France,Bark and branches,Steamdestillation,δ-cadinene; Cubenol; Cardinadienol,Base,6,Woody,Intense; Smoked,NA,NA,NA,Cade or Pirky juniper is an evergreen bush with big blackbrown berrys and long green needles belonging to the Cupressaceae family and originates from South-France,NA,NA,NA,NA,Spices; Pines; Junipers,NA,It’s all about the dosage DOSE LOW! Only one or 2 drops is enough! Toxic in high concentration Do not use during pregnancy; Can cause allergic reaction on skin
Cajeput,NL Cajeput; FR Cajeput; DE Cajeput; IT Melaleuca; CZ Kajeput; bělodřevý; PL Kajeput ,Melaleuca leucadendron,Myrtaceae,Vietnam,Leaf,Steamdestillation,1;8 cineole; Limonene,Top,3,Herbal: Medicenal,Herbaceous; Sweet; Medicinal,Crown,Yellow; Blue,Water; Earth,The Cajeput is a large evergreen tree belonging to the family of the Myrtaceae native to Malaysia Cultivated mostly in Vietnam Indonesia and Australia often reaches a height of 30 m with thick leaves and white flowers,Revitalise; Supports airways; Purifying,NA,NA,NA,Cedar; Lavender; Lime; Marjoram; Thymian; Tea tree; Cypress; Juniper; Citrus oils,NA,Use with moderation
Camomile real,NL Kamille echte; FR Chamomille allemande; DE Kamille Echt; IT Camomilla vera; CZ Heřmánek pravý; PL Rumianek ,Matricaria recutita,Asteraceae,Nepal,Flower,Steamdestillation,Farnesene; Chamazulene; Bisabolol oxide,Heart,3,Flower,Sweet; Herbaceous,Solar Plexus,Blue,Water ;Fire,The Matricaria recutita is herb belonging to the Asteraceae family Cultivad most part in Hungary France and Egypt it grows up to 60cm,Relaxing; Harmonizing; ,NA,NA,NA,Lavandin; Sage; Neroli; Ylang ylang,NA,Could cause allergic reaction when used beging allergic to composite flowers
Camphor,NL Kamfer; FR Campfre; DE Kampfer; IT Canfora; CZ Kafr; PL Cynamonowiec kamforowy,Cinnamomum camphora,Lauraceae,China,Wood,Steamdestillation,NA,Top,3,Herbal: Medicenal,Sharp; Introding, NA,NA,Air; Fire,Cinnamomum camphora is an evergreen plant belonging to the Lauraceae family of Eastern Asia It grows mostly in China Japan and Taiwan often reaches a height of 40 m with rather thin base from which the camphor is extracted by steam stream and then refined through the sublimation process The leaves are lanceolate groovy thick and persistent with White flowers and black drupa fruit The Cinnamomum camphora has 2 chemotypes: linalol and cineol Ho wood and ho leaf are from the wood and leaves of the linalol chemotype Ravintsara is from the leaf and camphor from the bark of the cineol chemotype,Harmonizing; Revitalise; Supports airways,NA,NA,NA,Basil; Benzoin; Cajeput; Chamomile; Rosemary; Pine; Cardamom; Cinnamon; Citronella; Elemi; Lavender; Lavendin; Ho; Lemon; Neroli; Citrus oils,NA,Use in moderation Do not ingest or use pure skin; Scratches or wounds Pregnancy is not recommended
Cardamon,NL Kardamom; FR Cardamomum; DE Kardamom; IT Cardamomo; CZ Kardamovník obecný; PL Kardamon ,Elettaria cardamomum,Zingiberaceae,india,Seed,Steamdestillation,1;8 cineole; Terpenyl acetate,Top,3,Spicy,Warm,Solar Plexus,Yellow,Water; Fire,Cardamom (Elettaria Cardamomum) is a perennial herbaceous plant belonging to the Zingiberaceae family of Asian Tropical origin Cultured for the most part in India Sri Lanka and Laos often reach a height of 4 m with long silky saber leaves long stems carry small flowers,Harmonizing; Revitalise; Supports airways; Purifying,NA,NA,NA,Sweet Orange; Bergamot; Cinnamon; Cedar; Cloves; Elemi; Star Anis; Lime; Ylang-Ylang; Citrus oils,NA,It is allergic and sensitizing
Cassia,NL Cassia; FR Canelle cassia; DE Cassia; IT Cassia; CZ Skořice; PL Cynamon chiński,Cinnamomum cassia,Lauraceae,Vietnam,Bark & Leaf,Steamdestillation,Cinnamaldehyde,Heart,5,Spicy,Warm; Aromatic; Cinnamom-Alike,Solar Plexus; Sacred,Orange; Yellow,Fire; Earth,Cassia also known as Chinese Cinnamon is an evergreen plant very similar to the Cinnamon of the Lauraceae family of southern China It grows mostly in Vietnam China and Taiwan often reaches a height of 20 m with rather slimy drums The opposite leaves are oval and elongated with a pointed tip The flowers white are gathered in inflorescences and the fruit is a drupe that contains a seed,Revitalise; Purifying,NA,NA,NA,Benzoin; Ylang Ylang; Citrus oils,NA,DOSE VERY LOW! It contains high doses of toxic phenols that can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
Cedar Atlas,NL Ceder Atlas; FR Cèdre Atlas; DE Cederholz Atlas; IT Cedro atlante; CZ Cedr atlas; PL Cedr Atlaski ,Cedrus atlantica,Pinaceae,Morocco,Wood,Steamdestillation,Himachalenes; Atlantones,Base,4,Woody,Intense; Balsamic; Woody; Sweet,Heart,Yellow; red,Earth; Fire,Atlantic Cedar (Cedrus Atlantica) is an evergreen tree belonging to the Pinaceae family of Algeria Cultivated for the most part in Morocco it often reaches a height of 40 m with woody bases at the base pyramidal shape majestic livery and light green leaves,Relaxing; Supports airways; Purifying; Supports airways; ,NA,NA,NA,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang; Citrus oils,NA,Do not use during pregnancy
Cedar Himalaya,NL Ceder Himalaya; FR Cèdre; Himalaya; DE Cederholz Himalaya; IT Cedro himalaya; CZ Cedr Himalájský; PL Cedr Himalajski ,Cedrus deodara,Pinaceae,india,Wood,Steamdestillation,Himachalenes; Atlantones; Himachalol,Base,4,Woody,Intense; Balsamic; Woody; Sweet,Heart,Yellow; red,Earth; Fire,The Himalayan cedar (Cedrus Deodara) is an evergreen plant belonging to the Pinaceae family originally from the western side of the Himalayas It grows mostly in India Afghanistan Tibet and Nepal often reaches a height of 40 m with rather large bulks at the base with pendulum branches The leaves are needle-shaped softer and longer than those of other cedars,Relaxing; Supports airways; Purifying; Supports airways;,NA,NA,NA,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang; Citrus oils,NA,Do not use during pregnancy
Ceder Virginie,NL Ceder Virginie; FR Cèdre; Virginie; DE Cederholz Virginie; IT Cedro della virginia; CZ Jalovec viržinský; PL Jałowiec wirginijski,Juniperus virginiana L,Cupressaceae,USA,Wood,Steamdestillation,Thuyopsene; Cedrol; Cedrene,Base,3,Woody,Woody; Sweet,Heart; Solar Plexus,Orange; Yellow,Earth ;Fire,Virginia Cedar (Juniperus Virginiana) is a majestic evergreen tree belonging to the Cupressaceae family of North America Cultivated for the most part in North America and Canada often reaches a height of 35 m with woody bases at the base lightheaded and light green cone Plant also known as Virginia's Jungle,Relaxing; Supports airways; purifying; ,NA,NA,NA,Benzoin; Bergamot; Cypress; Jasmine; Juniper; Rosemary; Ylang-Ylang; Citrus oils,NA,Do not use during pregnancy
Cinnamon,NL Kaneel; FR Canelle feuille; DE Zimtblätter; IT Cannella; CZ Skořice; PL Cynamon ,Cinnamomum zeylannicum,Lauraceae,Sri Lanka,Leaf,Steamdestillation,Eugenol,Base,5,Spicy,Hot; Spicy; Dry; Sweet,NA,NA,NA,Cinnamon is an evergreen tropical tree belonging to the Lauraceae family of Sri Lanka Cultivated for the most part in Madagascar it often reaches a height of 15 m with woody bases at the base sturdy branches thick bark and scabra shiny green leaves and small white flowers,Harmonizing; Supports airways; Supports immunesystem; Purifying;,NA,NA,NA,Amyris; Star Anise; Lemongrass; Sweet Orange; Basil; Benzoin; Cajeput; Coriander; Sweet Fennel; Lavender; Lavendir; Red Mandarin; Ylang-Ylang; citrus oils,NA,DOSE VERY LOW! It contains high doses of toxic phenols that can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
